duration,size
2386,4
3203,6
4003,8
4832,10
5675,12
6444,14
7225,16
8024,18
8804,20
9625,22
10413,24
11374,26
12131,28
2384,4
3205,6
4012,8
4818,10
5643,12
6422,14
7226,16
8038,18
8820,20
9639,22
10433,24
11375,26
12131,28
2384,4
3204,6
4009,8
4817,10
5637,12
6401,14
7210,16
8031,18
8816,20
9657,22
10418,24
11381,26
12139,28
2382,4
3220,6
4023,8
4810,10
5642,12
6401,14
7218,16
8047,18
8810,20
9626,22
10425,24
11375,26
12131,28
2380,4
3198,6
4011,8
4842,10
5663,12
6447,14
7265,16
8093,18
8804,20
9626,22
10412,24
11381,26
12148,28
2384,4
3227,6
4037,8
4845,10
5663,12
6407,14
7220,16
8036,18
8843,20
9716,22
10470,24
11374,26
12132,28
