duration,size
1975,4
2623,6
3329,8
3946,10
4617,12
5252,14
5880,16
6553,18
7198,20
7843,22
8500,24
9160,26
9829,28
1975,4
2625,6
3318,8
3944,10
4612,12
5251,14
5895,16
6545,18
7208,20
7847,22
8485,24
9151,26
9806,28
1975,4
2625,6
3321,8
3940,10
4612,12
5247,14
5874,16
6533,18
7187,20
7847,22
8497,24
9171,26
9825,28
1975,4
2626,6
3321,8
3946,10
4613,12
5256,14
5886,16
6551,18
7199,20
7830,22
8505,24
9164,26
9805,28
1975,4
2626,6
3319,8
3934,10
4619,12
5255,14
5894,16
6548,18
7216,20
7841,22
8485,24
9151,26
9814,28
1976,4
2625,6
3321,8
3920,10
4618,12
5260,14
5895,16
6541,18
7213,20
7856,22
8505,24
9151,26
9800,28
1975,4
2625,6
3316,8
3945,10
4612,12
5245,14
5868,16
6520,18
7191,20
7842,22
8510,24
9179,26
9800,28
1975,4
2624,6
3323,8
3945,10
4612,12
5239,14
5883,16
6550,18
7200,20
7851,22
8509,24
9156,26
9802,28
1975,4
2625,6
3320,8
3946,10
4613,12
5257,14
5879,16
6540,18
7190,20
7831,22
8494,24
9184,26
9830,28
1983,4
2631,6
3357,8
3947,10
4617,12
5241,14
5868,16
6532,18
7193,20
7837,22
8485,24
9152,26
9807,28
1975,4
2623,6
3325,8
3945,10
4611,12
5248,14
5877,16
6527,18
7189,20
7839,22
8485,24
9168,26
9819,28
1975,4
2625,6
3320,8
3946,10
4612,12
5253,14
5894,16
6524,18
7190,20
7852,22
8497,24
9173,26
9803,28
1976,4
2626,6
3319,8
3949,10
4618,12
5257,14
5881,16
6529,18
7214,20
7836,22
8490,24
9152,26
9801,28
1981,4
2632,6
3327,8
3942,10
4617,12
5257,14
5886,16
6522,18
7207,20
7831,22
8504,24
9171,26
9803,28
1975,4
2625,6
3321,8
3943,10
4612,12
5245,14
5874,16
6542,18
7203,20
7849,22
8505,24
9185,26
9829,28
1975,4
2625,6
3321,8
3933,10
4620,12
5236,14
5894,16
6529,18
7209,20
7843,22
8484,24
9158,26
9830,28
1974,4
2626,6
3317,8
3918,10
4612,12
5237,14
5885,16
6536,18
7193,20
7841,22
8514,24
9180,26
9828,28
1975,4
2628,6
3322,8
3937,10
4618,12
5235,14
5889,16
6519,18
7196,20
7846,22
8487,24
9172,26
9828,28
1974,4
2625,6
3356,8
3938,10
4618,12
5232,14
5885,16
6546,18
7211,20
7833,22
8505,24
9174,26
9806,28
1975,4
2625,6
3320,8
3939,10
4614,12
5238,14
5870,16
6528,18
7217,20
7858,22
8509,24
9161,26
9801,28
