duration,size
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
205,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
73,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
73,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
73,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
73,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
59,4
74,6
88,8
103,10
118,12
132,14
146,16
161,18
176,20
191,22
204,24
220,26
235,28
